Date,Cell Count,Min Cell Age (days),MAX Cell Age (days),Cell Restart Age (days)
22-JAN-19,272,97,817,
23-JAN-19,272,98,818,
24-JAN-19,272,99,819,
25-JAN-19,272,100,820,
26-JAN-19,272,101,821,
27-JAN-19,272,102,822,
28-JAN-19,272,103,823,
29-JAN-19,272,104,824,
30-JAN-19,272,105,825,
31-JAN-19,272,106,826,
01-FEB-19,272,107,827,
02-FEB-19,272,108,828,
03-FEB-19,272,109,829,
04-FEB-19,272,110,830,
05-FEB-19,272,111,831,
06-FEB-19,272,112,832,
07-FEB-19,272,113,833,
08-FEB-19,272,114,834,
09-FEB-19,272,115,835,
10-FEB-19,272,116,836,
11-FEB-19,272,117,837,
12-FEB-19,272,118,838,
13-FEB-19,272,119,839,
14-FEB-19,272,120,840,
15-FEB-19,272,121,841,
16-FEB-19,272,122,842,
17-FEB-19,272,123,843,
18-FEB-19,272,124,844,
19-FEB-19,272,125,845,
20-FEB-19,272,126,846,
21-FEB-19,272,127,847,
22-FEB-19,272,128,848,
23-FEB-19,272,129,849,
24-FEB-19,272,130,850,
25-FEB-19,272,131,851,
26-FEB-19,272,132,852,
27-FEB-19,272,133,853,
28-FEB-19,272,134,854,
01-MAR-19,272,135,855,
02-MAR-19,272,136,856,
03-MAR-19,272,137,857,
04-MAR-19,272,138,858,
05-MAR-19,272,139,859,
06-MAR-19,272,140,860,
07-MAR-19,272,141,861,
08-MAR-19,272,142,862,
09-MAR-19,272,143,863,
10-MAR-19,272,144,864,
11-MAR-19,272,145,865,
12-MAR-19,272,146,866,
13-MAR-19,272,147,867,
14-MAR-19,272,148,868,
15-MAR-19,272,149,869,
16-MAR-19,272,150,870,
17-MAR-19,272,151,871,
18-MAR-19,272,152,872,
19-MAR-19,272,153,873,
20-MAR-19,272,154,874,
21-MAR-19,272,155,875,
22-MAR-19,272,156,876,
23-MAR-19,272,157,877,
24-MAR-19,272,158,878,
25-MAR-19,272,159,879,
26-MAR-19,272,160,880,
27-MAR-19,272,161,881,
28-MAR-19,272,162,882,
29-MAR-19,272,163,883,
30-MAR-19,272,164,884,
31-MAR-19,272,165,885,
01-APR-19,272,166,886,
02-APR-19,272,167,887,
03-APR-19,272,168,888,
04-APR-19,272,169,889,
05-APR-19,272,170,890,
06-APR-19,272,171,891,
07-APR-19,272,172,892,
08-APR-19,272,173,893,
09-APR-19,272,174,894,
10-APR-19,272,175,895,
11-APR-19,272,176,896,
12-APR-19,272,177,897,
13-APR-19,272,178,898,
14-APR-19,272,179,899,
15-APR-19,272,180,900,
16-APR-19,272,181,901,
17-APR-19,272,182,902,
18-APR-19,272,183,903,
19-APR-19,272,184,904,
20-APR-19,272,185,905,
21-APR-19,272,186,906,
22-APR-19,272,187,907,
23-APR-19,272,188,908,
24-APR-19,272,189,909,
25-APR-19,272,190,910,
26-APR-19,272,191,911,
27-APR-19,272,192,912,
28-APR-19,272,193,913,
29-APR-19,272,194,914,
30-APR-19,272,195,915,
01-MAY-19,272,196,916,
02-MAY-19,272,197,917,
03-MAY-19,272,198,918,
04-MAY-19,272,199,919,
05-MAY-19,272,200,920,
06-MAY-19,272,201,921,
07-MAY-19,272,202,922,
08-MAY-19,272,203,923,
09-MAY-19,272,204,924,
10-MAY-19,272,205,925,
11-MAY-19,272,206,926,
12-MAY-19,272,207,927,
13-MAY-19,272,208,928,
