Date,Metal Tapped 7 Dy Run (kg/pd),Amperage (kA),Curr Eff 7 Dy Running (%),Aluminium (%),Iron (%),Cell Age (days),Cell Restart Age (days),BFT (sec),UF (min),UF_NO (no),Silicon (%),Base RSP (µΩ),Nett Sp Engy 7 Dy Run (kWh/kg Al),Nett Volts Per Pot (V),Anode Problems (No),Anode Shift Life (shifts),AlF3 Cons (kg AlF3/pd),Bath Temp (°C),Excess AlF3 (%),Metal Ht Bef Tap (cm),Bath Ht Bef Tap (cm),AE Freq (AE/pd),AE Duration (secs),Noise Volts (V),Noise Act (No/pd),Alumina Dumps (No/pd),Lining Drop (mV),Bath Temp (°C),AEV (V),SPAR,Call Wt (kg),Cruce Wt (kg),Sm RES (µΩ),TRSP (µΩ),TRSP TIME (min),Current Effeciency (%),Net Specific Energy (kWh/kg Al),NAE Freq (AE/pd)
22-AUG-19,1733.6875,230.04,93.6069485294118,99.8776486486486,0.091351351351351,1029,,30.1676470588235,39.1948529411765,12.922794117647,0.025783783783784,11.125919117647,13.5778308823529,4.25144852941176,16,80,29.2643382352941,965.1,11.025,21.7352941176471,17.2843137254902,0.047794117647059,38.5833333333333,0.016694852941177,0.261029411764706,2849.37132352941,,965.1,11.9828333333333,5.78375,2282.43902439024,2285.90243902439,11.3012132352941,0.001433823529412,239.833333333333,92.5452473655477,14.1643918214209,0.191176470588235
23-AUG-19,1732.94117647059,230.04,93.5664338235294,99.8671578947368,0.101855263157895,1030,,30.2220588235294,38.7904411764706,12.7720588235294,0.026078947368421,11.125919117647,13.5823161764706,4.25394852941176,17,80,26.8125,964.677631578947,11.2209302325581,21.75,17.2205882352941,0.022058823529412,30.2,0.016507352941177,0.220588235294118,2843.95955882353,,964.677631578947,11.1362,5.74302325581395,2277.41463414634,2285.34146341463,11.3120588235294,0.002253676470588,386.714285714286,92.5241449702237,14.1316142405011,0.132352941176471
24-AUG-19,1731.51838235294,230.04,93.4872426470588,99.8671052631579,0.100552631578947,1031,,30.2025735294118,37.8786764705882,12.8970588235294,0.026605263157895,11.125919117647,0,4.25512867647059,17,80,25.0823529411765,966.286666666667,11.9368421052631,21.7843137254902,17.1274509803922,0.022058823529412,21.75,0.016176470588235,0.216911764705882,2850.80147058824,,966.286666666667,11.36675,5.63052631578947,2286.29268292683,2290,11.3177610294118,0.002169117647059,233.111111111111,92.7127500960982,14.0870071078,0.128676470588235
25-AUG-19,1729.43014705882,230.02,93.3766911764706,99.8709722222222,0.09725,1032,,30.2165441176471,38.8860294117647,12.8786764705882,0.026722222222222,11.125919117647,0,4.25417279411765,9,80,26.0955882352941,965.65306122449,11.1878048780488,21.7352941176471,17.1225490196078,0.011029411764706,147.666666666667,0.015827205882353,0.1875,2841.5625,,965.65306122449,10.913,5.8009756097561,2277.51219512195,2285.0487804878,11.3138051470588,0.002191176470588,261.1,92.5195348966871,14.0959398753427,0.091911764705882
26-AUG-19,1726.55882352941,230.04,93.193419117647,99.8801666666667,0.089352941176471,1033,,30.2955882352941,37.8566176470588,12.8786764705882,0.025117647058824,11.125919117647,0,4.25531985294118,12,80,26.8077205882353,966.803921568627,10.325,21.7254901960784,17.0441176470588,0.018382352941177,20,0.015724264705882,0.198529411764706,2846.36029411765,,966.803921568627,10.9726,5.78,2275.73529411765,2281.20098039216,11.3178308823529,0.002474264705882,262.2,92.3569152034083,13.7963686834429,0.091911764705882
27-AUG-19,1723.62132352941,230.05,93.0342279411765,99.8746071428571,0.092928571428571,1034,,30.1091911764706,39.2316176470588,12.7058823529412,0.026976190476191,11.125919117647,0,4.25219485294118,7,80,26.5113970588235,964.8,10.8382352941176,21.8774509803922,17.0731707317073,0.022058823529412,35.4,0.016705882352941,0.224264705882353,2852.67647058824,,964.8,12.0292,5.79294117647059,2290,2293.79901960784,11.3035220588235,0.001235294117647,143.727272727273,92.8600981230858,13.6777344260176,0.128676470588235
28-AUG-19,1719.22058823529,230.06,92.7994117647059,99.8763555555555,0.090977777777778,1035,,30.1227941176471,38.6875,12.797794117647,0.025655555555556,11.125919117647,0,4.25584558823529,18,80,25.5411764705882,965.027586206897,11.545,21.7549019607843,17.1372549019608,0.003676470588235,54,0.016742647058824,0.253676470588235,2852.09926470588,,965.027586206897,9.668,5.7465,2266.9756097561,2269.21951219512,11.3185294117647,0.001371323529412,234.555555555556,91.8618489893044,14.2206449351502,0.102941176470588
29-AUG-19,1718.12132352941,230,92.7422058823529,99.867925,0.0996125,1036,,30.2922794117647,39.0073529411765,12.8345588235294,0.027475,11.1263161764706,0,4.25842647058824,21,80,24.6235294117647,963.743421052632,10.7521739130435,21.7303921568627,17.1176470588235,0.018382352941177,19,0.016566176470588,0.235294117647059,2827.58088235294,,963.743421052632,11.8483333333333,5.80304347826087,2273.60975609756,2279.24390243902,11.3322242647059,0.005761029411765,471.416666666667,92.2925254336363,13.9350261325152,0.113970588235294
30-AUG-19,1718.66911764706,230.03,92.7709926470588,99.8739456521739,0.093695652173913,1037,,30.3419117647059,38.1691176470588,12.875,0.026358695652174,11.1266544117647,0,4.25517279411765,17,80,24.7525735294118,964.058441558442,11.048,21.7156862745098,17.3774509803922,0.018382352941177,29,0.016363970588235,0.191176470588235,2833.51102941176,,964.058441558442,11.3388,5.8392,2293.82352941176,2294.46078431373,11.3175955882353,0.001238970588235,134.5,92.895368170832,13.7489577582605,0.0625
31-AUG-19,1718.19117647059,230.01,92.7477941176471,99.8768762886598,0.090432989690722,1038,,30.3816176470588,38.7683823529412,12.6911764705882,0.025432989690722,11.1266544117647,0,4.25653308823529,13,80,24.1981617647059,962.92,12.1634146341463,21.6274509803922,16.8872549019608,0.014705882352941,8.5,0.016286764705882,0.161764705882353,2826.68382352941,,962.92,11.6865,5.72512195121951,2283.26829268293,2287.78048780488,11.3247720588235,0.001617647058824,307.428571428571,92.6329582459683,13.9948715821631,0.099264705882353
01-SEP-19,1715.44117647059,229.8,92.7777205882353,99.8734361702128,0.092925531914894,1039,,30.4709558823529,39.3419117647059,12.7095588235294,0.025744680851064,11.1266544117647,0,4.25620588235294,11,80,23.6915441176471,961.047297297297,12.5511627906977,21.8446601941747,17.1853658536585,0.003676470588235,3,0.015566176470588,0.216911764705882,2810.25735294118,306.121621621622,961.047297297297,8.555,5.73488372093023,2285.9512195122,2288.87804878049,11.3334448529412,0.007011029411765,449.8125,92.763300865954,14.091604664023,0.069852941176471
02-SEP-19,1717.53308823529,230.05,92.8816176470588,99.8808673469388,0.087295918367347,1040,,30.4922794117647,40.5036764705882,12.5551470588235,0.026367346938775,11.1266544117647,0,4.25899264705882,17,80,22.6113970588235,961.48,12.0095238095238,21.8333333333333,17.328431372549,0.007352941176471,11,0.015488970588235,0.202205882352941,2799.40808823529,,961.48,13.0575,5.76261904761905,2285.26829268293,2286.68292682927,11.3331764705882,0.003011029411765,202.933333333333,92.572016618114,14.106003178293,0.091911764705882
03-SEP-19,1721.26838235294,230.03,92.9266911764706,99.8797708333333,0.08740625,1041,,30.5161764705882,38.922794117647,12.7941176470588,0.024802083333333,11.1266544117647,0,4.25654779411765,15,80,22.0044117647059,963.465753424658,11.1026315789474,21.7766990291262,16.6941747572816,0.018382352941177,29.8,0.015477941176471,0.205882352941176,2819.52205882353,,963.465753424658,11.416,5.80105263157895,2275.19417475728,2277.8640776699,11.323044117647,0.000220588235294,138,92.2234206768319,14.1972235776165,0.117647058823529
04-SEP-19,1722.16176470588,226.76,93.1658088235294,99.8808539325843,0.085404494382023,1042,,30.4536764705882,37.8125,12.9338235294118,0.026404494382023,11.1266544117647,0,4.20418382352941,15,80,21.0676470588235,964.124137931034,11.1846153846154,21.9117647058823,17.0490196078431,0.084558823529412,50.6521739130435,0.016242647058824,0.261029411764706,2791.375,,964.124137931034,12.3842608695652,5.75846153846154,2285.29411764706,2289.28921568627,11.3231397058824,0.001077205882353,243.285714285714,94.0225515603944,13.3571068062988,0.099264705882353
05-SEP-19,1722.23897058824,230.03,93.1676470588235,99.8698205128205,0.09575641025641,1043,,30.3650735294118,39.9044117647059,12.5441176470588,0.025961538461539,11.1267169117647,13.6166544117647,4.2565,13,80,22.5875,965.072368421053,11.3951219512195,21.7707317073171,16.6078431372549,0.007352941176471,12.5,0.015764705882353,0.261029411764706,2824.20588235294,,965.072368421053,11.8385,5.85073170731707,2273.83495145631,2270.50970873786,11.3230110294118,0.000194852941176,101.75,91.9256658342665,14.3700645028271,0.099264705882353
06-SEP-19,1722.73161764706,230.02,93.1938235294118,99.8663516483516,0.097395604395604,1044,,30.4154411764706,39.5330882352941,12.7941176470588,0.02543956043956,11.1268382352941,13.6115073529412,4.25826470588235,17,80,23.1610294117647,965.292857142857,11.0075,21.7073170731707,17.2303921568627,0.025735294117647,41.4285714285714,0.015705882352941,0.231617647058824,2814.88235294118,,965.292857142857,12.9177142857143,5.8355,2297.45098039216,2299.55882352941,11.3309632352941,0.001018382352941,216.4,93.1066284902963,13.6561610274254,0.136029411764706
07-SEP-19,1706.92647058824,230.05,93.1544485294118,99.87303125,0.093177083333333,1045,,30.4922794117647,39.8676470588235,12.7169117647059,0.025916666666667,11.1268382352941,0,4.25343014705882,12,80,23.6007352941176,965.993464052288,11.1425,21.7598039215686,17.1225490196078,0.025735294117647,12.6666666666667,0.015775735294118,0.272058823529412,2813.02205882353,,965.993464052288,12.3351666666667,5.812,2288.33333333333,2290.07352941176,11.3085294117647,0.001716911764706,281.142857142857,92.712502751763,13.740259459483,0.139705882352941
08-SEP-19,1720.85294117647,230.01,93.079044117647,99.8687755102041,0.09630612244898,1046,,30.4882352941176,39.297794117647,12.6801470588235,0.024877551020408,11.1272169117647,0,4.25402205882353,11,80,23.7775735294118,965.228187919463,10.9575,21.828431372549,17.1666666666667,0.022058823529412,10.4,0.015694852941177,0.257352941176471,2818.20955882353,323.513513513514,965.228187919463,11.3398,5.8225,2285,2287.94117647059,11.3130294117647,0.000720588235294,202.6,92.6394645810563,13.7203727869332,0.143382352941176
09-SEP-19,1709.57720588235,230.01,92.9763970588235,99.8721348314607,0.093707865168539,1047,,30.4455882352941,39.4375,12.7757352941176,0.025123595505618,11.1267610294118,0,4.25184926470588,16,80,25.9091911764706,968.353741496599,10.2155555555556,21.7696078431373,17.0637254901961,0.011029411764706,161.333333333333,0.0151875,0.209558823529412,2824.93014705882,,968.353741496599,16.5346666666667,5.85955555555556,2273.41463414634,2271.53658536585,11.3031470588235,0.003797794117647,259.714285714286,91.9752374793096,14.1842940130182,0.147058823529412
10-SEP-19,1697.76838235294,230.02,92.8377941176471,99.8728854166667,0.092177083333333,1048,,30.4650735294118,38.5808823529412,12.8713235294118,0.025072916666667,11.1251838235294,0,4.25261764705882,15,80,29.3838235294118,966.230769230769,11.0454545454545,21.7352941176471,17.5833333333333,0.029411764705882,32.25,0.016143382352941,0.268382352941176,2827.40073529412,390,966.230769230769,12.264375,5.84113636363636,2278.62745098039,2278.28431372549,11.3070772058823,0.000720588235294,192.166666666667,92.2468509403847,13.8168965777071,0.143382352941176
